GSM1358650	GSM1358651	GSM1358652	GSM1358653	GSM1358654	GSM1358655	GSM1358656	GSM1358657	GSM1358658	GSM1358659	GSM1358660	GSM1358661	GSM1358662	GSM1358663	GSM1358664
AB028970	2643.853067	2230.010695	466.8562535	1559.913864	1205.50965	2593.914965	1630.96034	1293.233624	1304.901805	436.0297629	934.1831795	1275.031662	357.7468209	1354.004017	1801.185486
AB028979	16.61837974	1706.516083	1927.631768	632.9899455	67.26901693	683.9056445	75.77076197	186.4602202	268.9117827	1661.525498	338.3537639	621.8937107	1179.220598	713.3001855	196.441006
AB028986	1189.163854	624.7146979	162.0116097	278.707694	1404.816644	1632.412614	905.8917561	545.2314961	635.0689371	373.7180708	942.6139113	895.3306173	212.5473998	178.5265666	368.1107004
AB029012	1402.617454	2011.678075	1287.518605	587.3037571	929.7948854	1040.675857	983.7913245	636.6344729	403.9337018	827.3624647	708.9876308	516.2482024	251.5181124	387.8258916	292.3703766
AB029034	2070.081301	4263.917983	1879.829897	3811.549725	2582.753178	3786.47186	2092.607902	1660.352051	1939.135098	653.1349112	1306.189996	1639.933815	2669.048162	2139.82524	2687.600905
AB029331	138.1872468	409.4720031	364.8649789	584.4150676	1513.534247	67.02716262	386.6880259	634.0861795	263.642886	894.2337244	400.9265548	492.7085354	120.1833645	178.5265666	542.535055
AB029488	576.5870905	306.3590495	651.7558351	119.2404982	599.6487828	293.6672288	804.5093255	197.0016075	33.86698708	351.9427571	204.6121949	325.6709366	617.4986665	148.5254289	532.6165128
AB030181	26.55947923	49.23804079	29.1182404	105.7824701	752.4364893	91.91889876	39.06901254	142.775354	16.30724756	28.41995314	51.00666814	17.86669013	27.60639659	15.54717282	58.93560456
AB030240	704.1336287	1458.017146	291.2598475	1263.213811	60.02752845	442.5655277	1460.946619	2533.453251	1172.820929	203.0076493	500.9848558	827.3458918	361.8116585	484.3727587	1784.174552
AB031045	212.6667023	376.8930172	26.16691385	577.2263342	63.52602938	147.5216344	628.1762202	890.686342	361.1138255	222.8432324	28.86623716	19.89874419	281.0527325	408.8294059	883.4564286
AB032179	115.2688824	716.4242892	120.8418672	900.6911487	76.85318672	110.0563739	937.8167297	746.2970794	122.3509619	579.6568727	208.8278546	280.3446368	224.2349234	213.25154	463.986199
AB032251	619.7363273	376.8930172	52.21515496	529.464583	715.8462567	1089.465679	1121.840202	1213.022921	1199.08396	190.1203348	421.8769824	502.2937557	561.1766923	536.1221876	1554.88455
AB032417	111.4544281	272.7752523	1046.531398	466.9580146	276.3075225	937.723078	1007.429465	974.1427898	943.9682278	436.0297629	352.9599675	230.493275	1783.763365	359.6567312	368.7740896
AB032592	15.09836592	64.8459322	326.2448743	29.37492487	30.43426101	101.5180012	14.59001143	21.66356636	11.79121239	198.7710892	436.0979611	122.0160908	189.7670466	450.6662076	19.99630852
AB032762	123.0093555	20.76772601	181.5802572	93.81995349	377.0071027	86.600459	87.15721371	47.75734017	82.71989762	30.25087265	23.5035153	32.36629842	81.13615735	41.09581965	68.43584898
AB032945	178.2327316	958.6601378	709.823434	276.2284241	631.184425	564.5094581	393.2023354	776.4867842	36.62680405	610.9209747	362.4684527	611.3894965	1881.298864	856.68126	545.4551969
AB032951	5974.465399	7645.709781	5548.986129	3251.942478	3836.625287	5167.906523	3766.649444	2843.955579	4630.213601	7137.608658	5833.698208	5396.585174	8358.993152	4528.869556	5165.29686
AB032956	347.3381202	597.06026	268.6803838	240.2964015	493.712231	811.5723178	46.70758876	227.1945254	248.4942409	573.8884137	238.7607609	469.8565436	112.5267376	83.88894604	531.6554366
AB032960	13.17757569	16.48727093	10.957074	12.8554347	16.92944681	296.56988	17.8830836	21.66356636	10.54126313	24.96042977	11.34149807	21.00875964	68.27296451	9.758250321	67.45063214
AB032966	1097.567469	875.0237149	83.80757443	1399.028118	3466.770849	582.5554758	1670.496321	1944.963437	813.0538263	470.5620546	588.4124983	453.7806049	20.76659932	146.500267	2033.229192
AB032979	1103.416207	1175.683301	636.9086842	1042.698508	2479.255787	1187.459807	794.4024035	724.6863962	1146.634436	308.5820338	89.81058768	743.2485891	1275.06273	1008.545439	754.0265888
AB032992	592.7487405	486.2396118	690.9576781	98.01562792	392.8483655	133.1481688	250.1445392	44.26086798	293.7184513	671.3490325	702.0308943	743.2485891	292.5097131	674.1859943	68.89486884
AB032995	847.094773	2050.93656	731.9795525	650.6720817	638.3875877	975.0338529	983.3109836	631.1383581	1234.874157	231.7436105	503.4565604	219.2182083	31.52312422	49.75171006	1172.449345
AB033000	1029.332498	1060.193841	1119.312703	629.1946287	350.0198047	1055.10063	135.0697438	234.2509485	628.6756701	932.0871445	631.0006036	682.3224378	1764.880361	688.1452736	231.5141834
AB033012	433.2990739	23.06928644	279.0100831	408.0117547	75.92130902	852.6318839	179.1397235	116.57831	106.8041231	112.8428424	131.2805088	125.8990528	36.0289521	297.0112441	29.08039401
AB033021	286.1653751	111.2377969	366.0215785	62.84526315	61.76818918	496.8432183	20.97360851	83.54894603	51.1016414	264.5008176	91.33667242	162.9252892	845.2283175	68.55588496	109.9167447
